reviewer,recipe,subject,rating,review
ryland,Cocont Curry Salmon,So good,5,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
ryland,Guacamole,I hate avocadoes,3,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
jc,Fruit Pizza,Yumm Pizzaaa,4,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
jc,Vegan Lasagna,I don't like vegan stuff,2,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
dumby,Cheesy Chex Mix, Good snack,4,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
dumby,Black Bean Tostadas,BEANS!,5,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
cassie,Classic Stuffed Peppers,pretty good,5,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
cassie,Tres Leche Cake,I love coffee,5,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
cam,Ham Pinwheels,I like salmon better,3,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
cam,Garlic Bagel Chips, very garlicy,2,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
derek,Baked Brie,i love cheese,5,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
derek,Pot Stickers,So good,4,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
tuvag,Best Chocolate Chip Cookies,better than the other recipe,5,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
tuvag,Chocolate Chip Cookies,not very good,2,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua
hp,Breakfast Tostadas,great breakfast option,4,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
hp,Creamy Steak Fettuccine,i love pasta,5,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
ronnie,Chicken & Biscuits Bake,just okay,3,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
herm,Cake Pops,Quick and easy dessert,5,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
herm,Fruit Pizza,Fruit and pizza! Yum!,4,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
ronnie,BBQ Chicken Twice-Baked Potatoes,Great dinner option,4,sed do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliquased do eiusmod tempor incididunt ut labore et dolore magna aliqua
